SID,delta,theta,alpha,beta,alpha_peak,1/f_slope,spindles,slow_oscillations,CAP_index
s06,0.005528106095180153,0.470663840135526,0.2610162932094625,0.2627917605598313,9.0,-16.833837760866043,,,
s06,0.005154317369527072,0.44985850240550557,0.24735957027990696,0.2976276099450604,7.25,-17.504475161915867,,,
s06,0.004671455222534939,0.5677257928570045,0.20186097306215647,0.22574177885830424,,-17.759748559701958,,,
s06,0.003168481977255865,0.4216003655368709,0.24297217127881707,0.3322589812070561,11.25,-17.36145597862857,,,
s06,0.0036984484420629965,0.2827654921157957,0.16181998958740684,0.5517160698547345,7.25,-19.520701676752306,,,
s06,0.005724683414880919,0.4720124017155883,0.26714987755737285,0.255113037312158,10.0,-16.982406808474295,,,
s06,0.0030276366377810834,0.3731492717224929,0.16297705409950422,0.46084603754022174,,-19.21160753006851,,,
s06,0.003320194439724919,0.45188406976022905,0.23394402476099613,0.3108517110390498,,-18.431184134784928,,,
s06,0.005935675609620876,0.4085663467289636,0.20017274423009673,0.38532523343131886,9.5,-16.37184420475908,,,
s06,0.009207496998262963,0.584213211855905,0.20589569768242644,0.20068359346340559,,-17.57131571905483,,,
s06,0.003597474624450165,0.36125794269725797,0.24418093520511608,0.3909636474731758,9.5,-18.784792215800906,,,
s06,0.00743074008744864,0.5547425877299474,0.2181281007784457,0.2196985714041582,,-15.632321754304925,,,
s06,0.006465422453999766,0.5265231786875099,0.23135957448781733,0.23565182437067292,7.5,-18.27310240672686,,,
s06,0.004681421892908824,0.4505314645765212,0.28315586087678374,0.2616312526537863,9.75,-18.930630535472634,,,
s06,0.005771858755787304,0.5073895502803086,0.1810169837857857,0.30582160717811846,,-17.940559357709386,,,
s06,0.002980674849312243,0.3762854688412966,0.23812605989106095,0.38260779641833026,11.75,-18.304821706452373,,,
s06,0.0037086990148027035,0.6439062302128342,0.20376824121528192,0.14861682955708136,9.75,-16.65290653036832,,,
s06,0.002349462383665443,0.38176474606151256,0.18091444702280546,0.4349713445320166,10.0,-19.53466398557682,,,
s06,0.0034067105257140798,0.5123793822574235,0.24446818243748225,0.23974572477938022,,-18.195730580301955,,,
s06,0.002992437915109799,0.37070536320091496,0.20927888073045903,0.41702331815351634,9.25,-18.95273101292423,,,
s06,0.0030681711931240005,0.39923298707964733,0.2805044911368003,0.31719435059042833,9.75,-17.163817983013377,,,
s06,0.004380353843316108,0.45518153662289,0.2858668085542464,0.2545713009795474,10.0,-18.370518257204544,,,
s06,0.0033879866631669874,0.4407638009681404,0.25750212804332673,0.29834608432536575,9.25,-16.31012601234698,,,
s06,0.0036635001107231963,0.6110166894900958,0.19661108459791998,0.18870872580126108,8.5,-15.800940541336324,,,
s06,0.003838417381485123,0.4809858621079757,0.24285726219266068,0.2723184583178784,,-17.243985982810283,,,
s06,0.004395924378043496,0.3927400251222747,0.36032105884540827,0.2425429916542735,9.5,-17.27181454443516,,,
s06,0.005060989097436342,0.4122960128915374,0.2827537719947416,0.29988922601628476,9.75,-17.985160238055357,,,
s06,0.0034849658944361367,0.49711607358476884,0.2606708218974615,0.23872813862333347,7.75,-17.131564360968213,,,
s06,0.007524838719390314,0.5597640245852143,0.2564312551972037,0.17627988149819168,9.5,-17.2986317653122,,,
s06,0.0036931246841025696,0.351091183167553,0.3015585263448364,0.34365716580350797,11.0,-18.119444516725242,,,
s06,0.0014961088691392852,0.2575747388155306,0.19078127434831957,0.5501478779670106,9.25,-18.702961279182112,,,
s06,0.0018393684665946694,0.3631346317018779,0.193026509781898,0.4419994900496296,9.75,-16.971930878125633,,,
s06,0.0022424168401661954,0.4304538795519941,0.2837442906138236,0.28355941299401594,10.75,-17.321422774362834,,,
s06,0.008868168840482919,0.4966571743765199,0.2396662155426126,0.25480844124038454,9.25,-17.97145416028159,,,
s06,0.002356506808298121,0.4050664127669915,0.2501452198462651,0.3424318605784453,10.0,-18.524626539228823,,,
s06,0.006038727895079398,0.46306147826415217,0.25088574697736443,0.28001404686340403,,-17.328775691232085,,,
s06,0.003562105278266113,0.3945512658032929,0.3054665277421228,0.2964201011763181,9.5,-17.32595657747847,,,
s06,0.0024713554550998837,0.24766801079596293,0.17864323556485032,0.571217398184087,9.75,-18.553787314468046,,,
s06,0.005153042235839554,0.4604608204299082,0.2178296394120872,0.316556497922165,9.5,-17.8127759494053,,,
s06,0.0022663945953122627,0.4566638126583427,0.22879427412916808,0.3122755186171769,9.5,-16.003554202611866,,,
